FILENAME,TEXT,FOUND_PROPER_NOUN,MISSED_PROPER_NOUN,FOUND_PRONOUN,MISSED_PRONOUN
chap_1_doyle,"Chapter [Mr Sherlock Holmes]_n0, who was usually very late in the mornings, save upon those not infrequent occasions when [he]_p0 was up all night, was seated at the breakfast table.",1,0,1,0
chap_1_doyle, [I]_p1 stood upon the hearth-rug and picked up the stick which [our]_p2 visitor had left behind [him]_p3 the night before.,0,0,3,0
chap_1_doyle," [It]_p4 was a fine,  thick piece of wood,  bulbous-headed,  of the sort which is known as a.",0,0,1,0
chap_1_doyle," ""[Penang]_n1 lawyer"".",1,0,0,0
chap_1_doyle, Just under the head was a broad silver band nearly an inch across.,0,0,0,0
chap_1_doyle," ""To [James Mortimer]_n2, MR.",1,0,0,0
chap_1_doyle, RC.,0,0,0,0
chap_1_doyle, CS.,0,0,0,0
chap_1_doyle, S.,0,0,0,0
chap_1_doyle," ,  from [his]_p5 friends of the CC.",0,0,1,0
chap_1_doyle, CH.,0,0,0,0
chap_1_doyle, H.,0,0,0,0
chap_1_doyle," , "".",0,0,0,0
chap_1_doyle," was engraved upon [it]_p6,  with the date.",0,0,1,0
chap_1_doyle," ""1884"".",0,0,0,0
chap_1_doyle," [It]_p7 was just such a stick as the old-fashioned family practitioner used to carry,  dignified,  solid,  and reassuring.",0,0,1,0
chap_1_doyle," ""Well, [Watson]_n3, what do [you]_p8 make of it? [Holmes]_n4 was sitting with [his]_p9 back to [me]_p10, and [I]_p11 had given [him]_p12 no sign of [my]_p13 occupation.",2,0,6,1
chap_1_doyle," ""How did [you]_p14 know what [I]_p16 was doing? [I]_p17 believe [you]_p15 have eyes in the back of [your]_p18 head.",0,0,5,0
chap_1_doyle," ""[I]_p19 have,  at least,  a well-polished,  silver-plated coffee-pot in front of [me]_p20, "".",0,0,2,0
chap_1_doyle, said [he]_p21.,0,0,1,0
chap_1_doyle," ""But, tell [me]_p22, [Watson]_n5, what do [you]_p23 make of [our]_p24 visitor's stick? Since [we]_p25 have been so unfortunate as to miss [him]_p26 and have no notion of [his]_p27 errand, this accidental souvenir becomes of importance.",1,0,6,0
chap_1_doyle, Let [me]_p28 hear [you]_p29 reconstruct the man by an examination of [it]_p30.,0,0,3,0
chap_1_doyle," ""[I]_p31 think, "".",0,0,1,0
chap_1_doyle," said [I]_p32,  following as far as [I]_p33 could the methods of [my]_p34 companion ,.",0,0,3,0
chap_1_doyle," ""that [Dr Mortimer]_n6 is a successful, elderly medical man, well-esteemed since those who know [him]_p35 give [him]_p36 this mark of [their]_p37 appreciation.",1,0,3,0
chap_1_doyle," ""Good!"".",0,0,0,0
chap_1_doyle, said [Holmes]_n7.,1,0,0,0
chap_1_doyle," ""Excellent!.",0,0,0,0
chap_1_doyle," ""[I]_p38 think also that the probability is in favour of [his]_p39 being a country practitioner who does a great deal of [his]_p40 visiting on foot.",0,0,3,0
chap_1_doyle," ""Why so?.",0,0,0,0
chap_1_doyle," ""Because this stick,  though originally a very handsome one has been so knocked about that [I]_p41 can hardly imagine a town practitioner carrying [it]_p42.",0,0,2,0
chap_1_doyle," The [thick-iron]_n8 ferrule is worn down, so [it]_p43 is evident that [he]_p45 has done a great amount of walking with [it]_p44.",1,0,3,0
chap_1_doyle," ""Perfectly sound!"".",0,0,0,0
chap_1_doyle, said [Holmes]_n9.,1,0,0,0
chap_1_doyle," ""And then again,  there is the friends of the CC.",0,0,0,0
chap_1_doyle, CH.,0,0,0,0
chap_1_doyle, H.,0,0,0,0
chap_1_doyle," '[I]_p46 should guess that to be the [Something Hunt]_n10, the local hunt to whose members [he]_p47 has possibly given some surgical assistance, and which has made [him]_p48 a small presentation in return.",1,0,3,0
chap_1_doyle," ""Really, [Watson]_n11, [you]_p49 excel [yourself]_p50 ,"".",1,0,2,0
chap_1_doyle," said [Holmes]_n12, pushing back [his]_p51 chair and lighting a cigarette.",1,0,1,0
chap_1_doyle," ""[I]_p52 am bound to say that in all the accounts which [you]_p53 have been so good as to give of [my]_p55 own small achievements [you]_p54 have habitually underrated [your]_p56 own abilities.",0,0,5,0
chap_1_doyle," [It]_p57 may be that [you]_p58 are not [yourself]_p60 luminous,  but [you]_p59 are a conductor of light.",0,0,4,0
chap_1_doyle, Some people without possessing genius have a remarkable power of stimulating [it]_p61.,0,0,1,0
chap_1_doyle," [I]_p62 confess,  [my]_p64 dear fellow,  that [I]_p63 am very much in [your]_p65 debt.",0,0,4,0
chap_1_doyle," [He]_p66 had never said as much before,  and [I]_p67 must admit that [his]_p70 words gave [me]_p73 keen pleasure,  for [I]_p68 had often been piqued by [his]_p71 indifference to [my]_p74 admiration and to the attempts which [I]_p68 had made to give publicity to [his]_p71 methods.",0,0,9,0
chap_1_doyle," [I]_p75 was proud,  too,  to think that [I]_p76 had so far mastered [his]_p77 system as to apply [it]_p79 in a way which earned [his]_p78 approval.",0,0,5,0
chap_1_doyle, [He]_p80 now took the stick from [my]_p81 hands and examined [it]_p82 for a few minutes with [his]_p83 naked eyes.,0,0,4,0
chap_1_doyle," Then with an expression of interest [he]_p84 laid down [his]_p86 cigarette,  and carrying the cane to the window,  [he]_p85 looked over [it]_p87 again with a convex lens.",0,0,4,0
chap_1_doyle," ""Interesting,  though elementary, "".",0,0,0,0
chap_1_doyle, said [he]_p88 as [he]_p89 returned to [his]_p90 favourite corner of the settee.,0,0,3,0
chap_1_doyle," ""There are certainly one or two indications upon the stick.",0,0,0,0
chap_1_doyle, [It]_p91 gives [us]_p92 the basis for several deductions.,0,0,2,0
chap_1_doyle," ""Has anything escaped me?"".",0,0,0,1
chap_1_doyle, [I]_p93 asked with some self-importance.,0,0,1,0
chap_1_doyle," ""[I]_p94 trust that there is nothing of consequence which [I]_p95 have overlooked?.",0,0,2,0
chap_1_doyle," ""[I]_p96 am afraid, [my]_p97 dear [Watson]_n13, that most of [your]_p98 conclusions were erroneous.",1,0,3,0
chap_1_doyle," When [I]_p99 said that [you]_p102 stimulated [me]_p103 [I]_p100 meant,  to be frank,  that in noting [your]_p104 fallacies [I]_p100 was occasionally guided towards the truth.",0,0,6,0
chap_1_doyle, Not that [you]_p105 are entirely wrong in this instance.,0,0,1,0
chap_1_doyle, The man is certainly a country practitioner.,0,0,0,0
chap_1_doyle, And [he]_p106 walks a good deal.,0,0,1,0
chap_1_doyle," ""Then [I]_p107 was right.",0,0,1,0
chap_1_doyle," ""To that extent.",0,0,0,0
chap_1_doyle," ""But that was all.",0,0,0,0
chap_1_doyle," ""No, no, [my]_p108 dear [Watson]_n14, not all, by no means all.",1,0,1,0
chap_1_doyle," [I]_p109 would suggest,  for example,  that a presentation to a doctor is more likely to come from a hospital than from a hunt,  and that when the initials CC.",0,0,1,0
chap_1_doyle, C.,0,0,0,0
chap_1_doyle, 'are placed before that hospital the words [Charing Cross]_n15 'very naturally suggest [themselves]_p110.,1,0,1,0
chap_1_doyle," ""[You]_p111 may be right.",0,0,1,0
